Rk,Player,Tm,SA1819,SA1920,SA2021,SA2122,SA2223,SA2324,Signed Using,Guaranteed,SA1819.log
488,Troy Williams\willitr02,NOP,34183.00,,,,,$0 ,,"$34,183 ",10.43948372
486,Shaquille Harrison\harrish01,PHO,50000.00,,,,,$0 ,,"$50,000 ",10.81977828
487,Garlon Green\greenga02,NOP,50000.00,,,,,$0 ,,"$50,000 ",10.81977828
485,Demetrius Jackson\jacksde01,BOS,92857.00,"$92,857 ","$92,857 ","$92,857 ","$92,857 ",$0 ,,"$557,142 ",11.43881595
484,Troy Williams\willitr02,HOU,122741.00,"$122,741 ","$122,741 ","$122,741 ","$122,741 ",$0 ,,"$613,705 ",11.71783172
483,Ron Baker\bakerro01,WAS,170915.00,,,,,$0 ,,"$170,915 ",12.04892164
482,Miroslav Raduljica\radulmi01,LAC,252043.00,,,,,$0 ,,"$252,043 ",12.43735499
481,Patrick McCaw\mccawpa01,CLE,323529.00,,,,,$0 ,,"$323,529 ",12.68704403
479,Festus Ezeli\ezelife01,POR,333333.00,"$333,333 ",,,,$0 ,,"$666,666 ",12.71689727
480,C.J. Watson\watsocj01,ORL,333333.00,"$333,333 ",,,,$0 ,,"$666,666 ",12.71689727
478,A.J. Hammons\hammoaj01,MIA,350088.00,"$350,087 ","$350,087 ",,,$0 ,,"$1,050,262 ",12.76593983
477,Dakari Johnson\johnsda04,MEM,459414.00,"$459,414 ","$459,414 ",,,$0 ,,"$1,378,242 ",13.03770704
476,Caron Butler\butleca01,SAC,517219.00,,,,,$0 ,,"$517,219 ",13.15622166
475,Carlos Delfino\delfica01,LAC,650000.00,,,,,$0 ,,"$650,000 ",13.38472764
474,James Nunnally\nunnaja01,MIN,655632.00,,,,,$0 ,,"$655,632 ",13.39335493
473,Cole Aldrich\aldrico01,MIN,685341.00,"$685,340 ","$685,340 ",,,$0 ,,"$2,056,021 ",13.4376718
472,Patrick McCaw\mccawpa01,TOR,786000.00,,,,,$0 ,,"$786,000 ",13.57471207
471,Lorenzo Brown\brownlo01,TOR,800000.00,,,,,$0 ,,"$800,000 ",13.59236701
470,Martell Webster\webstma02,WAS,833333.00,,,,,$0 ,,"$833,333 ",13.6331886
454,Gary Trent\trentga02,POR,838464.00,"$1,416,852 ","$1,663,861 ",,,$0 ,MLE,"$3,919,177 ",13.63932693
455,Hamidou Diallo\diallha01,OKC,838464.00,"$1,416,852 ","$1,663,861 ",,,$0 ,MLE,"$2,255,316 ",13.63932693
456,Keita Bates-Diop\bateske01,MIN,838464.00,"$1,416,852 ","$1,663,861 ",,,$0 ,MLE,"$2,255,316 ",13.63932693
457,Jevon Carter\carteje01,MEM,838464.00,"$1,416,852 ",,,,$0 ,MInimum Salary,"$2,255,316 ",13.63932693
458,Bruce Brown\brownbr01,DET,838464.00,"$1,416,852 ","$1,663,861 ",,,$0 ,MLE,"$2,255,316 ",13.63932693
459,Jarred Vanderbilt\vandeja01,DEN,838464.00,"$1,663,861 ","$1,416,852 ",,,$0 ,MLE,"$2,255,316 ",13.63932693
460,Ray Spalding\spaldra01,DAL,838464.00,"$1,416,852 ","$1,663,861 ","$1,802,057 ",,$0 ,Minimum Salary,"$2,255,316 ",13.63932693
461,Khyri Thomas\thomakh01,DET,838464.00,"$838,464 ","$1,663,861 ",,,$0 ,MLE,"$1,676,928 ",13.63932693
462,Isaiah Briscoe\briscis01,ORL,838464.00,"$1,663,861 ","$838,464 ",,,$0 ,MLE,"$1,338,464 ",13.63932693
463,Chimezie Metu\metuch01,SAS,838464.00,,,,,$0 ,MLE,"$838,464 ",13.63932693
464,Kenrich Williams\willike04,NOP,838464.00,"$1,416,852 ",,,,$0 ,Minimum Salary,"$838,464 ",13.63932693
